A;B;Bloco;Resp
A1;B1;1;34,6
A1;B2;1;36
A1;B3;1;35,8
A2;B1;1;37,4
A2;B2;1;37,3
A2;B3;1;38,5
A3;B1;1;38,9
A3;B2;1;37,7
A3;B3;1;41
A1;B1;2;33,2
A1;B2;2;35,7
A1;B3;2;35,3
A2;B1;2;38,1
A2;B2;2;36,9
A2;B3;2;40,1
A3;B1;2;40,4
A3;B2;2;39,2
A3;B3;2;41,7
A1;B1;3;35,6
A1;B2;3;34,1
A1;B3;3;35,6
A2;B1;3;36,8
A2;B2;3;35,4
A2;B3;3;37,5
A3;B1;3;40
A3;B2;3;40,2
A3;B3;3;40,9
A1;B1;4;34,4
A1;B2;4;33,2
A1;B3;4;35
A2;B1;4;39
A2;B2;4;35,4
A2;B3;4;40
A3;B1;4;38,3
A3;B2;4;38,3
A3;B3;4;41
